Question,Answer,Topic
What is the next step after paying the down payment?,Log in to the ISMIS portal with the website https://ismis.usc.edu.ph/ using the given username and the set password.,15
What should the applicant do in the ISMIS portal?,"Click ""Student Task"", ""Enrollment Related"", and ""Student Enrollment"" and proceed with either block enrollment or non-block enrollment depending on the period set during the day the enrollment module is accessed.",15
Who should the applicant contact for concerns in the ISMIS portal?,The department chair.,15
What is the next step after enrolling in the ISMIS portal?,"Print the study load by clicking ""Student Task"", ""Enrollment Related"", and ""View Study Load"" and click the Print button.",15
What is the final step in the enrollment process?,Proceed to the IRMO ID Room (either at the Downtown or Talamban Campus) for picture taking.,15
What is required to release the School ID?,The clearance from the Office of the University Registrar.,15
Who should the applicant contact for concerns in the IRMO ID Room?,Email irmoacs@usc.edu.ph.,15
What happens as soon as classes start?,Students are automatically enrolled in the CANVAS Learning Management System (LMS) to receive announcements and updates of the courses they are enrolled in as well as through the USC emails of the students.,15
What should the applicant do if there are no notifications received?,Email irmoacs@usc.edu.ph to request for an update.,15
When must an applicant student enroll?,During the prescribed registration period.,16
Where can detailed instructions on online enrollment procedures be found?,In ISMIS and the official USC website.,16
Is enrollment by proxy allowed?,"No, enrollment by proxy is not allowed.",16
Where is enrollment done?,In the ISMIS portal.,16
What is the link for the ISMIS portal?,https://ismis.usc.edu.ph.,16
What does ISMIS stand for?,Integrated School Management Information System.,16
Who can access the ISMIS portal?,"USC students, faculty, and staff.",16
What type of information can be found in ISMIS?,Pertinent school information.,16
What can officially enrolled students view in ISMIS?,"Grades, class schedules, application for student requests (withdrawal, program shift, overload, etc.), assessment and enrollment.",16
What is understood when a student registers in USC?,That he/she is enrolling for the entire term.,16
What are the requirements for a student to be officially enrolled?,"Submission of required documentation requirements at the Office of the University Registrar, initial payment of school fees, and issuance or download of a validated Study Load.",16
What is given to a student upon receipt of the required documents?,A clearance form for the USC ID card.,16
"What is required for a student to participate in class activities, take quizzes and major exams, and receive a grade at the end of the semester?",Official enrollment in a course.,16
What must be reflected on the class list?,The student's name.,16
What is a course?,"A subject offered in a tertiary institution, identified by the course title, course code, and course description.",16
What is a class list?,A list of students officially enrolled in a particular course and schedule.,16
Can a student change a program during the enrollment period?,"Yes, with the endorsement of the Department Chair and School Dean and approval by the Registrar.",16
Are changes permitted after the close of the enrollment period?,No.,16
Is cross-enrollment generally allowed?,"No, it is discouraged.",16
Under what circumstances may cross-enrollment be permitted?,"For valid reasons, as determined by the Department Chair and the approval of the School Dean, to graduating students (with a Deficiency Form) of not more than six (6) units during the semester and three (3) units during the summer term, inclusive of the total units enrolled in that particular term.",16
Is cross-enrollment allowed if it is the only remaining course?,No.,16
Why is cross-enrollment not allowed if it is the only remaining course?,So as not to prejudice the student’s residency in the University.,16
What must be taken at the University?,The last course.,16
Under what circumstances may a permit to study in another school be granted?,"Upon the recommendation of the Department Chair and the approval of the School Dean, but only for general education courses.",16
What courses must be taken at the University?,"Major, professional, or technical courses required for the degree program pursued.",16
Is withdrawal of courses allowed even after the close of the enrollment period?,"Yes, with the endorsement of the Department Chair and School Dean.",16
Where can the Application for withdrawal of course(s) be found?,Online in ISMIS under Student Task.,16
Until when is withdrawal of course(s) allowed?,Until mid-term examinations or after the incurrence of unexcused absences (20% of the total number of required school days).,16
What are the corresponding charges for withdrawal?,Stipulated in Section 3.6.,16
What must a student apply for online in ISMIS if they intend to transfer to another school?,A Certificate of Transfer Credentials (CTC).,16
What will be issued to the applicant after being cleared of all financial and property liabilities?,A Certificate of Transfer Credentials (CTC) with the informative copy of the Transcript of Records and other documents.,16
What is the order of enrollment modes?,"The order of enrollment modes are Block Enrollment, Non-block enrollment, Open Market, and Adjustment Period.",17
Where can the enrollment dates for every term be found?,The enrollment dates for every term (regular semester and summer) can be found in the academic calendar.,17
What is the first period of enrollment for all year students?,The first period of enrollment for all year students is block enrollment.,17
"After a few days, what mode of enrollment comes next?","After a few days, the mode of enrollment shifts to non-block enrollment.",17
Who enrolls first in non-block enrollment?,Third to fifth year students enroll first in non-block enrollment.,17
Who enrolls next in non-block enrollment?,First and second year students enroll next in non-block enrollment.,17
What happens during the open market period?,"During the open market period, the reservation of courses to specific departments will already be lifted.",17
What can students see during the open market period?,"During the open market period, students can now see other schedules which may suit them better.",17
What is the final period of enrollment?,The final period of enrollment is the adjustment period.,17
Who can access the enrollment module during the adjustment period?,"During the adjustment period, the enrollment module will no longer be accessible by the student but instead by the department.",17
"What might happen to class schedules, rooms, and instructors during the adjustment period?","During the adjustment period, there might be changes in class schedules, rooms, and instructors based on the status of the course.",17
What might happen to undersized classes during the adjustment period?,Undersized classes might be dissolved and students have to contact their department for resolutions.,17
Why should students monitor their enrollment status during the adjustment period?,Students should monitor their enrollment status during the adjustment period to see for any sudden changes done by the department.,17
What is block sectioning?,Block sectioning allows a student to enroll all the courses for the term at once.,17
Who is eligible for block sectioning?,You are eligible for block sectioning if you are enrolling for a regular full load in a given semester.,17
What is a requirement for block sectioning?,You must not have incurred any failures or NG from the previous semesters.,17
What else is required for block sectioning?,You must have obtained passing grades for all courses that are pre-requisite to the set of courses on a given semester.,17
What happens if you don't meet the requirements for block sectioning?,"If you don't meet the requirements for block sectioning, you have to opt for non-block enrollment instead and enroll only the courses you are eligible in.",17
Can you not fully consume all the units allotted for you in a given semester?,"Yes, you are allowed to not fully consume all the units allotted for you in a given semester based on your year level standing.",17
What is non-block sectioning?,Non-block sectioning requires the student to advise and enroll a course one at a time.,17
Who is eligible for non-block sectioning?,Non-block sectioning is available to all students regardless of their course statuses.,17
When is non-block sectioning available?,Non-block sectioning is available only after the block enrollment period has ended.,17
What courses can students view during non-block enrollment?,"During non-block enrollment, the course schedules which the students can view during this period are only those which are reserved to their home department.",17
What are the main steps for enrollment to be done by all continuing students?,Following are the main steps for enrollment to be done by all continuing students.,18
How do I log in to my ISMIS account?,Go to https://ismis.usc.edu.ph and log-in using your given credentials.,18
Where do I go to access the student enrollment function?,"Inside the ISMIS portal, click ""Student Task"", ""Enrollment Related"", and ""Student Enrollment"".",18
What should I do if I receive a pop-up message informing me that I cannot proceed with enrollment?,"Check the content. If it alerts you about down payment, please refer to the amount indicated on your screen.",18
What should I do if I have past dues or balances?,"Go to ""Student Ledger"" to view payables. Then pay the specified amount via payment channels and follow the payment instructions indicated.",18
Do I need to send proof of payment as a continuing student?,"No, there is no need for continuing students to send proof of payment.",18
How do I check if my payment has been cleared?,"Go to ""Student Task"", ""Assessment"", and click ""Student Ledger"".",18
What should I do if I need clearance from specific offices?,"Go to notifications icon at ISMIS, beside your profile picture by clicking ""View Notifications"", then contact each office indicated and request for temporary clearance or unblocking.",18
What is the process for block enrollment?,"Click ""Block Advising"", then choose your desired Block Section, and then click ""Enroll Block Section"".",18
What is the process for non-block enrollment?,"Click ""Advise Course"", then select from the available schedules. The schedule can be picked only when the slots are not yet full and you do not have conflicts from other courses. Then click ""Enroll Course"".",18
How do I enroll in GE Free Electives?,"Click the ""Student Task"" tab, then click ""Enrollment Related"" from the drop-down list, then click ""View Offered Courses"", then type in ""GE-FEL"" and the current academic period and year.",18
When can I view other schedules from other departments for GE Free Electives?,During open market period provided they are not full yet.,18
How do I enroll in a GE Free Elective course?,"Click the ""Student Task"" tab, then click ""Enrollment Related"" from the dropdown list, then click ""Student Enrollment"", then click ""Advice Course"". Select the rows for free electives e.g. GE-FREELEC 1, then Select from the available schedule and click ""Enroll Course"".",18
How do I view my study load?,"Click ""Student Task"", ""Enrollment Related"", and ""View Study Load"".",18
What is the purpose of viewing my study load?,This will serve as your proof of enrollment which will be asked by some of your instructors or in activities that you will be joining as a student.,18
What is the purpose of Step 1 in the enrollment process?,Log in to your ISMIS account.,18
What is the purpose of Step 2 in the enrollment process?,Go to student enrollment function.,18
What is the purpose of Step 3 in the enrollment process?,"Settle your accountabilities, if any.",18
What is the purpose of Step 4a in the enrollment process?,"For block enrollment, advise and enroll for a block section.",18
What is the purpose of Step 4b in the enrollment process?,"For non-block enrollment, advise and enroll the courses one by one.",18
What is the purpose of Step 5 in the enrollment process?,Enroll in GE Free Electives.,18
What is the purpose of Step 6 in the enrollment process?,View your study load.,18
Can I enroll in a course that has a conflict with another course?,"No, the schedule can be picked only when the slots are not yet full and you do not have conflicts from other courses.",18
Can I enroll in a course that is already full?,"No, the schedule can be picked only when the slots are not yet full.",18
"What is the purpose of the ""Student Ledger""?",To view payables.,18
"What is the purpose of the ""Notifications"" icon?",To view notifications and contact each office indicated and request for temporary clearance or unblocking.,18
"What is the purpose of the ""View Offered Courses"" function?",To view which elective courses are offered this semester.,18
"What is the purpose of the ""Advice Course"" function?",To advise and enroll in a course.,18
What should I do if there are no more slots for General Education courses under my department?,Wait for open market period where you can pick other groups which are from the other departments.,19
What should I be mindful of when picking other groups during open market period?,Be mindful of the building and room assigned for the schedule.,19
What should I do if there are no more slots for a major course offered by my department?,Reach out to your program coordinator.,19
What do program coordinators consider before opening another class group for a particular course?,The classroom and teacher availability.,19
What happens to classes with insufficient students during adjustment period?,They will be dissolved so the extra needed groups may be held in those timeslots instead.,19
Where can I find a list of Programs in USC with their prospectus?,Check the Program Owners powerpoint in the Comprehensive Enrollment Guide.,19
How can I get a syllabus for a Program?,Request it from the Department that handles the Program.,19
Where can I find the prospectus of my Program?,In your ISMIS account.,19
Why was my INC override application disapproved?,You may have not properly indicated your course in the application.,19
How can I check the status of my override application?,Click the eye button beside your application form.,19
"How can I view my assessment, including tuition fees and other school fees?","Click ""Student task"", ""Others"", then ""Assessment"".",19
How can I view my fees from previous semesters?,Adjust the semester and year in the dropdown lists found at the top of the Assessment page.,19
How do I apply for a promissory note?,"Go to ""Promissory Note"" in ISMIS and click ""Apply Promissory Note"".",19
When is the promissory note module available?,Only within the enrollment period.,19
What option should I choose if the promissory note is for the balance of the previous semester?,"Choose the option ""Enrollment"" in the dropdown list.",19
What information do I need to provide when applying for a promissory note?,"Input the installment plan for the outstanding balance, provide the amount and promised date when you would like to settle the amount.",19
How many installment options do I have for settling the balance?,"2, 3, or 4 installment options.",19
What is the rule for inputting the amount in the installment plan?,Do not use comma separators.,19
What is the interval required between installment updates?,At least 30 days.,19
What is the requirement for the total installment payment?,It must equal to the balance shown up to the last cent.,19
Can I apply for another promissory note if I haven't settled the balance from the previous one?,"No, a student cannot apply for another promissory note if he or she has not settled the balances from the previous promissory note.",19
What do I need to do after applying for a promissory note?,Pay for the downpayment before proceeding to enrollment.,19
What is the Institutional Student Programs and Services Fee for?,"Various services maintained for administrative support, Information Technology (IT), and energy.",19
Who explained the purpose of the Institutional Student Programs and Services Fee?,"Fr. Arthur Villanueva, Vice President for Finance.",19
When did Fr. Arthur Villanueva explain the purpose of the Institutional Student Programs and Services Fee?,"In his Advisory dated July 24, 2020.",19
How do I access the Library Services of USC online?,"Go to ""Student Task"" in ISMIS, then click ""Library Related"" and choose any of the options provided.",19
"What do I need to do when prompted after clicking ""Library Related""?",Log in again using your USC email credentials.,19
What is the reminder for face-to-face classes?,Arrive on campus on time based on your class schedules.,19
What should I do if I don't have an assigned teacher?,"Proceed to your classroom on time, even if you don't have an assigned teacher.",19
What will happen if my teacher does not show up 30 minutes after class starts?,The class will be cancelled.,19
When will the final lineup of teachers be released?,At the end of the adjustment period.,19
How much time will I have to transfer to my next class?,You will be dismissed 10 minutes before the end of class.,19
What is the purpose of course accreditation?,For accreditation of courses taken from previous schools or program.,20
What type of courses can be accredited?,Courses taken by a student from his/her previous local or international school or from his/her previous program within USC with a different course code.,20
What happens if the course accreditation request is approved?,The student does not necessarily have to enroll in such courses.,20
How do I apply for course accreditation?,"Click ""Student Task"", ""Others"", and ""Apply Course Accreditation"".",20
What information do I need to provide when applying for course accreditation?,"Type the course taken from previous school, or choose from the drop down list the course code from your previous program within USC.",20
What else do I need to provide when applying for course accreditation?,"Indicate the equivalent course applied for and upload all the relevant attachments such as course syllabus, prospectus, and grades.",20
Where can I monitor the status of my course accreditation application?,"At ""Application history"".",20
Who are involved in the course accreditation process?,"Evaluator for document assessment, course custodian for accreditation approval, dean for approval, and evaluator for encoding of the accredited course in the system.",20
How do I view my accredited courses?,"Click ""Student Task"", ""Enrollment Related"", and ""View Grades"".",20
"Where can I find the accredited courses in the ""View Grades"" page?",Scroll down and will find the accredited courses at the bottom part of the list.,20
"What is the purpose of the ""Application history"" page?",To monitor the status of the course accreditation application.,20
What is the role of the evaluator in the course accreditation process?,Document assessment and encoding of the accredited course in the system.,20
What is the role of the course custodian in the course accreditation process?,Accreditation approval.,20
What is the role of the dean in the course accreditation process?,Approval.,20
What type of attachments are required when applying for course accreditation?,"Course syllabus, prospectus, and grades.",20
Can I apply for course accreditation for courses taken from my current program within USC?,Yes.,20
Can I apply for course accreditation for courses taken from a different university?,Yes.,20
Do I need to enroll in a course if my course accreditation request is approved?,No.,20
How do I know if my course accreditation request is approved?,"Check the ""Application history"" page.",20
Can I apply for course accreditation for multiple courses at once?,"(No answer in the context, but implied yes since the process is described in singular form)",20
Do I need to provide additional information when applying for course accreditation?,No (only the specified information is required).,20
Can I cancel my course accreditation request after submitting it?,(No answer in the context),20
How long does the course accreditation process take?,(No answer in the context),20
Who can I contact if I have questions about the course accreditation process?,(No answer in the context),20
What happens if my course accreditation request is denied?,(No answer in the context),20
Can I appeal if my course accreditation request is denied?,(No answer in the context),20
What is a course override?,"A request to be filed if a student incurred a grade of ""INC"" in his/her pre-requisite course and would like to enroll in the succeeding course.",21
Who is eligible to apply for course override?,A graduating student for the semester you are currently in.,21
What happens if you fail in the prerequisite course?,Failure in the prerequisite course invalidates the succeeding course even if you get a passing grade for the latter.,21
How does the system consider failure in the prerequisite course?,The system automatically considers it as a failure.,21
Where do you go to apply for course override?,"""Student Task"", ""Enrollment Related"", and ""Apply Override"".",21
"What do you do after accessing ""Apply Override""?","Search for the succeeding course you would like to enroll in and click ""Submit"".",21
Where can you monitor your status after applying for course override?,"""Application History"" which includes chair for endorsement, dean for endorsement, and registrar for approval.",21
Who will advise the course once approved?,The registrar staff will be the one to advise the course.,21
What do you do if you can still access the enrollment module after approval?,"You can now choose a schedule by clicking ""Enroll"".",21
What happens if you cannot access the enrollment module after approval?,Registrar staff will be the one to enroll you to the course.,21
What is the purpose of applying for course override?,"To enroll in the succeeding course despite having a grade of ""INC"" in the prerequisite course.",21
Can you apply for course override if you are not a graduating student?,"No, only graduating students for the semester are eligible to apply.",21
What happens if you pass the succeeding course but failed the prerequisite course?,Failure in the prerequisite course invalidates the succeeding course even if you get a passing grade for the latter.,21
Who endorses the course override application?,Chair and dean.,21
Who approves the course override application?,Registrar.,21
What is the next step after submitting the course override application?,"Monitor your status at ""Application History"".",21
Can you enroll in the succeeding course without applying for course override?,"No, you need to apply for course override if you have a grade of ""INC"" in the prerequisite course.",21
Who will enroll you in the course if you cannot access the enrollment module?,Registrar staff.,21
What is the consequence of failing to apply for course override?,You cannot enroll in the succeeding course.,21
Can you apply for course override if you have a passing grade in the prerequisite course?,"No, course override is only for students who incurred a grade of ""INC"" in the prerequisite course.",21
What is the role of the registrar staff in the course override process?,They advise the course and enroll the student if they cannot access the enrollment module.,21
How do you know if your course override application is approved?,"You can monitor your status at ""Application History"".",21
What is the benefit of applying for course override?,"You can enroll in the succeeding course despite having a grade of ""INC"" in the prerequisite course.",21
Can you apply for course override for any course?,"No, only for courses that have a prerequisite course where you incurred a grade of ""INC"".",21
What is the first step in applying for course override?,"Go to ""Student Task"", ""Enrollment Related"", and ""Apply Override"".",21
Who can guide you through the course override process?,Registrar staff.,21
What is course equivalency also known as?,In-lieu.,22
Who can apply for course equivalency?,Any student.,22
When is course equivalency necessary?,When the original course is not offered but there is another course with different descriptive title but the same course content and academic units in a different program offered by the same department or a program of another department.,22
Where can I apply for course equivalency?,"""Student Task"", ""Others"", and ""Application for Course Equivalency"".",22
What do I need to do to apply for course equivalency?,"Select first the course outside the prospectus you are requesting to be considered as an equivalent course, then select the course equivalent in current prospectus.",22
What do I do after selecting the courses?,"Click the ""click to add course equivalency item"" button to add the course.",22
Can I apply for course equivalency for more than one course?,"Yes, the previous steps can be repeated if you are applying for course equivalency for more than one course.",22
What do I do after encoding all the courses I want to apply for equivalency?,"Click ""Submit"".",22
Where can I monitor my application status?,"""Application History"".",22
What is included in the application history?,"Chair for endorsement, course custodian for endorsement, dean for endorsement, and registrar for approval.",22
Who will advise the course once approved?,The registrar staff.,22
What do I do if I can still access the enrollment module?,"I can now choose a schedule by clicking ""Enroll"".",22
What happens if I cannot access the enrollment module?,The registrar staff will be the one to enroll me to the course.,22
Who enrolls me to the course if I cannot access the enrollment module?,The registrar staff.,22
"What is the purpose of the ""Application for Course Equivalency"" form?",To apply for course equivalency.,22
What is the first step in applying for course equivalency?,Select first the course outside the prospectus you are requesting to be considered as an equivalent course.,22
What is the second step in applying for course equivalency?,Select the course equivalent in current prospectus.,22
How many times can I repeat the steps in applying for course equivalency?,As many times as necessary if you are applying for course equivalency for more than one course.,22
"What happens after I click the ""Submit"" button?",The application will be processed for approval.,22
Who approves the course equivalency application?,The registrar.,22
What is the role of the registrar staff in course equivalency?,To advise the course and enroll the student if they cannot access the enrollment module.,22
Can I apply for course equivalency for a course with a different descriptive title but the same course content and academic units?,Yes.,22
Can I apply for course equivalency for a course offered by a different department?,Yes.,22
What is the benefit of applying for course equivalency?,To take a course that is not offered in the original program but has the same course content and academic units.,22
Is course equivalency available to all students?,Yes.,22
"Where can I find the ""Application for Course Equivalency"" form?","In ""Student Task"", ""Others"".",22
"What is the purpose of the ""click to add course equivalency item"" button?",To add the course to the application.,22
How do I know if my application is approved?,"Through the ""Application History"".",22
What is overload in the context of enrollment?,Overload is an enrollment request where a student will enroll more than the maximum number of allowed units in a semester.,23
Why is the request for overload made available?,Requests for overload is a special case made available for a graduating student so he/she can graduate on time.,23
What is the allowable maximum number of units for overload?,The allowable maximum number of units for overload is 6 units.,23
How do I apply for overload?,"To apply for overload, click ""Student Task"", ""Enrollment Related"", and ""Apply Overload"".",23
What information do I need to provide in the overload application form?,"In the form, indicate the academic year and period, the courses which will be an overload, and the reason for applying for overload.",23
What do I do after filling out the overload application form?,"Then click ""Submit"".",23
Where can I monitor the status of my overload application?,"You may monitor your status at ""Application History"".",23
"What is included in the ""Application History""?","...which includes chair for endorsement, dean for endorsement, and registrar for approval.",23
Who will advise the course once the overload application is approved?,"Once approved, the registrar staff will be the one to advise the course.",23
Can I still access the enrollment module after approval?,If you can still access the enrollment module...,23
What do I do if I can still access the enrollment module?,"...you can now choose a schedule by clicking ""Enroll"".",23
What happens if I cannot access the enrollment module?,"Otherwise, registrar staff will be the one to enroll you to the course.",23
Who will enroll me to the course if I cannot access the enrollment module?,Registrar staff will be the one to enroll you to the course.,23
What is the purpose of the overload request?,Requests for overload is a special case made available for a graduating student so he/she can graduate on time.,23
Is overload available for all students?,"(Implied answer) No, it is only available for graduating students.",23
How many units can I take as an overload?,The allowable maximum number of units for overload is 6 units.,23
Can I apply for overload for any semester?,"(Implied answer) No, it is only available for graduating students who need to graduate on time.",23
Who approves the overload application?,...registrar for approval.,23
Who endorses the overload application?,"...chair for endorsement, dean for endorsement...",23
What is the first step in applying for overload?,"To apply for overload, click ""Student Task"", ""Enrollment Related"", and ""Apply Overload"".",23
What happens after I submit my overload application?,"You may monitor your status at ""Application History"".",23
Can I cancel my overload application?,(No answer in the context),23
How long does it take to process an overload application?,(No answer in the context),23
Can I apply for overload for a previous semester?,"(Implied answer) No, it is only available for the current semester.",23
Who can I contact if I have questions about overload?,(No answer in the context),23
What are the requirements for applying for overload?,(Implied answer) You must be a graduating student who needs to graduate on time.,23
Can I apply for overload for a course that is already full?,(No answer in the context),23
How do I know if my overload application is approved?,"You may monitor your status at ""Application History"".",23
What happens if my overload application is denied?,(No answer in the context),23
What is Simultaneous Enrollment?,Simultaneous Enrollment is a request to be filed when a student needs to simultaneously enroll the pre-requisite course with the succeeding course for valid reason(s).,24
What does simultaneous enrollment mean?,Simultaneous enrollment means that both the pre-requisite course and the succeeding course will be enrolled together in the same semester.,24
Who is eligible to apply for course override?,You are eligible to apply for course override if you are a graduating student on the semester you are currently in.,24
What happens if you fail the prerequisite course?,Failure in the prerequisite course invalidates the succeeding course even if you get a passing grade for the latter.,24
How does the system consider failure in the prerequisite course?,The system automatically considers it as a failure.,24
How do you apply for Simultaneous Enrollment?,"To apply for Simultaneous Enrollment, click ""Student Task"", ""Enrollment Related"", and ""Apply Simultaneous Enrollment"".",24
"What do you do in the form after clicking ""Apply Simultaneous Enrollment""?","In the form, search and select the courses to be enrolled in the current semester, then click ""Submit"".",24
Where can you monitor your application status?,"You may monitor your status at ""Application History"" which includes chair for endorsement, dean for endorsement, and registrar for approval.",24
Who will advise the course once approved?,"Once approved, the registrar staff will be the one to advise the course.",24
What do you do if you can still access the enrollment module?,"If you can still access the enrollment module, you can now choose a schedule by clicking ""Enroll"".",24
What happens if you cannot access the enrollment module?,"Otherwise, registrar staff will be the one to enroll you to the course.",24
"What is the purpose of the ""Application History""?","The ""Application History"" includes chair for endorsement, dean for endorsement, and registrar for approval.",24
What is the first step in applying for Simultaneous Enrollment?,"The first step is to click ""Student Task"".",24
What is the second step in applying for Simultaneous Enrollment?,"The second step is to click ""Enrollment Related"".",24
What is the third step in applying for Simultaneous Enrollment?,"The third step is to click ""Apply Simultaneous Enrollment"".",24
What do you do after selecting the courses in the form?,"Then click ""Submit"".",24
Who is responsible for endorsing the application?,The chair is responsible for endorsing the application.,24
Who is responsible for endorsing the application after the chair?,The dean is responsible for endorsing the application after the chair.,24
Who is responsible for approving the application?,The registrar is responsible for approving the application.,24
What happens to the succeeding course if you fail the prerequisite course?,Failure in the prerequisite course invalidates the succeeding course even if you get a passing grade for the latter.,24
Can you enroll in the succeeding course without taking the prerequisite course?,"No, you cannot enroll in the succeeding course without taking the prerequisite course.",24
What is the consequence of failing the prerequisite course?,The consequence is that the succeeding course will be invalidated.,24
Can you still access the enrollment module after approval?,"If you can still access the enrollment module, you can now choose a schedule by clicking ""Enroll"".",24
Who will enroll you in the course if you cannot access the enrollment module?,The registrar staff will be the one to enroll you to the course.,24
"What is the purpose of the ""Apply Simultaneous Enrollment"" button?",The purpose is to apply for Simultaneous Enrollment.,24
"What is the purpose of the ""Submit"" button?",The purpose is to submit the application.,24
"What is the purpose of the ""Enroll"" button?",The purpose is to choose a schedule.,24
What type of courses may be requested by students?,Off-semester courses may be requested by students as petitioned or tutorial classes.,25
Are there any additional charges for petition or tutorial classes?,Additional charges may apply depending on the number of students.,25
How do I apply for a petition or tutorial?,"To apply for petition or tutorial, click ""Student Task"", ""Enrollment Related"", and ""Apply Petition/Tutorial"".",25
"What do I need to do after clicking ""Apply Petition/Tutorial""?",Click the lens icon to open the form.,25
What information do I need to provide in the form?,Indicate the academic year and period.,25
What else do I need to provide in the form?,Indicate the course and course status based on the number of students signing up and the type of course.,25
What is the course status for 1 to 5 students for a lecture course?,"For 1 to 5 students for a lecture course, it will be a tutorial offering.",25
What is the course status for 6 to 29 students for a lecture course?,"For 6 to 29 students for a lecture course, it will be a petition offering.",25
What is the course status for 30 students and above for a lecture course?,"For 30 students and above for a lecture course, it will be converted to a regular offering.",25
What is the course status for laboratory courses regardless of the number of students signing up?,"For laboratory courses, regardless of the number of students signing up, it will be a petition offering.",25
What do I need to do after filling out the form?,"Click ""Submit"" once the form is filled.",25
What do I need to do after submitting the form?,"Once the request is generated, you are then to join the request by clicking the plus icon, then input the required details in the next form and submit.",25
What do I need to do after submitting the second form?,Do not forget to click the check icon to confirm your inclusion in the petition or tutorial.,25
What do I need to do after confirming my inclusion?,Read and understand the confirmation page and click confirm if you agree to the provisions of the request.,25
Where can I monitor the status of my request?,"You may monitor your status at ""Application History"" which includes chair for endorsement, dean for endorsement, audit for endorsement, and registrar for approval.",25
Who will advise and enroll the students to the petition or tutorial course once approved?,The registrar staff will be the one to advise and enroll the students to the petition or tutorial course.,25
Will I be charged an additional fee even if I don't attend the class?,The student shall be charged with the additional fee whether or not he or she attends the class.,25
Who is responsible for endorsing the request at the chair level?,Chair for endorsement.,25
Who is responsible for endorsing the request at the dean level?,Dean for endorsement.,25
Who is responsible for endorsing the request at the audit level?,Audit for endorsement.,25
Who is responsible for approving the request?,Registrar for approval.,25
What happens after the registrar approves the request?,The registrar staff will be the one to advise and enroll the students to the petition or tutorial course.,25
Can I cancel my request after submitting it?,(No answer in the context),25
How long does it take for the registrar to approve the request?,(No answer in the context),25
Can I apply for a petition or tutorial course for a course that is not offered in the current semester?,(No answer in the context),25
Are petition and tutorial courses only available for undergraduate students?,(No answer in the context),25
Is withdrawal of courses allowed after the close of the enrollment period?,Withdrawal of courses is allowed even after the close of the enrollment period.,26
Is withdrawal of courses allowed after the mid-term examinations?,Withdrawal of courses is not allowed either after the mid-term examinations.,26
Is withdrawal of courses allowed after the student has incurred unexcused absences?,Withdrawal of courses is not allowed either after the student has incurred unexcused absences.,26
Can a student withdraw from courses of previous semesters?,A student can only withdraw from his/her enrolled courses during the current semester.,26
What are the types of withdrawal requests?,Requests for withdrawal can be partial or complete.,26
What is partial withdrawal?,Partial Withdrawal is the type of request to be filed if the student intends to withdraw certain courses only.,26
How do I apply for partial withdrawal?,"To apply for partial withdrawal, go to ""Student Task"", then click ""Enrollment Related"", and ""Apply Partial Course Withdrawal"".",26
What do I need to specify when applying for partial withdrawal?,Specify the courses which you would like to withdraw and indicate the reason for the withdrawal.,26
What happens after submitting the partial withdrawal application?,"Click ""Submit"". You may monitor the status at ""Application History"" which includes chair for endorsement, dean for endorsement, and registrar for approval.",26
What happens once the partial withdrawal is approved?,"Once approved, the registrar staff will mark such courses with ""W"" for withdraw.",26
What is complete withdrawal?,Complete Withdrawal is the type of request to be filed if the student intends to withdraw all of his or her courses in the current semester.,26
How do I apply for complete withdrawal?,"To apply for complete withdrawal, go to ""Student Task"", then click ""Enrollment Related"", and ""Apply Complete Course Withdrawal"".",26
What do I need to specify when applying for complete withdrawal?,"Indicate the reason for the withdrawal and click ""Submit"".",26
What happens after submitting the complete withdrawal application?,"You may monitor the status at ""Application History"" which includes chair for endorsement, dean for endorsement, counseling and development center for exit interview and endorsement, library for accountability check, and accounting for accountability check, and registrar for approval.",26
What happens once the complete withdrawal is approved?,"Once approved, the registrar staff will mark all the courses with ""W"" for withdraw.",26
What is the financial implication of withdrawal if the request is filed within the 1st week of classes?,10% of tuition fees if request is filed within the 1st week of classes.,26
What is the financial implication of withdrawal if the request is filed within the 2nd week of classes?,20% of tuition fees if request is filed within the 2nd week of classes.,26
What is the financial implication of withdrawal if the request is filed beyond the 2nd week of classes?,100% of tuition fees if request is filed beyond the 2nd week of classes.,26
Can I withdraw from all my courses in the current semester?,"Yes, you can file a complete withdrawal request.",26
Can I withdraw from certain courses only?,"Yes, you can file a partial withdrawal request.",26
Who needs to endorse my withdrawal request?,"Chair, dean, and registrar.",26
Who else needs to endorse my complete withdrawal request?,"Counseling and development center for exit interview and endorsement, library for accountability check, and accounting for accountability check.",26
Where can I monitor the status of my withdrawal application?,"At ""Application History"".",26
"What does ""W"" stand for in my course grades?",Withdraw.,26
What is a returnee in the context of enrollment?,A returnee is a student who has not enrolled in his/her program for at least a semester and has not transferred to another university.,27
What happens to the ISMIS account of a returnee after 2 consecutive semesters?,The ISMIS account of such student is deactivated.,27
How can a returnee reactivate their ISMIS account?,Send an email to the comptroller's office informing the office that you are a returnee and would like to seek clearance from the accounting office.,27
What additional step should an international student take to reactivate their ISMIS account?,Seek clearance from the Office of External Relations & Internationalization.,27
Who should a returnee contact for certification of reacceptance?,The department chair.,27
What should a returnee submit to the Office of Registrar?,The clearances and the certificate of reacceptance.,27
How should a returnee submit the required documents to the Office of Registrar?,Via email.,27
